,testset_idx,doc_ix,snippet
0,25695,83692379,"(310, 4832, 612, 331, 11344, 29899, 9816, 16708, 304, 3896, 263, 5644, 29874, 17327, 411, 278, 5874, 297, 278, 1206)"
1,26141,43695868,"(3677, 440, 22693, 322, 6993, 9316, 1951, 29871, 29896, 29929, 29929, 29946, 1090, 278, 1024, 390, 7520, 18473, 29963, 22693)"
2,26472,28629849,"(1302, 3372, 1218, 411, 278, 383, 12809, 297, 1811, 304, 26694, 278, 2022, 1058, 20373, 278, 24424, 304, 263, 501)"
3,26472,76650874,"(1302, 3372, 1218, 411, 278, 383, 12809, 297, 1811, 304, 26694, 278, 2022, 1058, 20373, 278, 24424, 304, 263, 501)"
4,26799,32394232,"(940, 1497, 278, 2228, 310, 766, 11291, 292, 770, 2164, 2472, 1048, 263, 315, 29889, 29902, 29889, 29909, 29889, 12139, 471, 376)"
5,26918,49906181,"(7205, 17952, 1316, 408, 278, 394, 10222, 2124, 393, 15358, 363, 2834, 322, 526, 2360, 443, 5444, 389, 1319, 304, 1009)"
6,26918,85769967,"(7205, 17952, 1316, 408, 278, 394, 10222, 2124, 393, 15358, 363, 2834, 322, 526, 2360, 443, 5444, 389, 1319, 304, 1009)"
7,27450,61138323,"(21071, 1243, 2164, 373, 5306, 29871, 29906, 29953, 393, 29677, 381, 750, 23454, 278, 6586, 13585, 16661, 322, 750, 884, 2000)"
8,27570,136427448,"(450, 1353, 310, 26850, 10695, 8491, 4696, 8379, 515, 263, 1880, 310, 29871, 29896, 29946, 29889, 29945, 7284, 297, 3786, 304, 29871)"
9,27570,40195015,"(450, 1353, 310, 26850, 10695, 8491, 4696, 8379, 515, 263, 1880, 310, 29871, 29896, 29946, 29889, 29945, 7284, 297, 3786, 304, 29871)"
10,27570,97021353,"(450, 1353, 310, 26850, 10695, 8491, 4696, 8379, 515, 263, 1880, 310, 29871, 29896, 29946, 29889, 29945, 7284, 297, 3786, 304, 29871)"
11,27570,136427448,"(310, 29871, 29896, 29946, 29889, 29945, 7284, 297, 3786, 304, 29871, 29896, 29906, 29889, 29955, 7284, 297, 2610, 322, 29871, 29896, 29900)"
12,27570,40195015,"(310, 29871, 29896, 29946, 29889, 29945, 7284, 297, 3786, 304, 29871, 29896, 29906, 29889, 29955, 7284, 297, 2610, 322, 29871, 29896, 29900)"
13,27570,97021353,"(310, 29871, 29896, 29946, 29889, 29945, 7284, 297, 3786, 304, 29871, 29896, 29906, 29889, 29955, 7284, 297, 2610, 322, 29871, 29896, 29900)"
14,28577,73568398,"(451, 4023, 2168, 491, 278, 6601, 7191, 322, 278, 17202, 310, 23957, 10070, 892, 2221, 304, 2009, 393, 278, 321)"
15,28578,140282028,"(4023, 2168, 322, 393, 278, 17202, 310, 7904, 8819, 321, 29899, 2549, 23957, 10070, 892, 2221, 304, 2009, 393, 278, 321)"
16,28919,91513271,"(12530, 263, 1023, 29899, 18721, 6493, 304, 278, 14622, 14368, 310, 1425, 18152, 322, 317, 2497, 326, 3270, 29891, 801)"
17,28919,14035740,"(12530, 263, 1023, 29899, 18721, 6493, 304, 278, 14622, 14368, 310, 1425, 18152, 322, 317, 2497, 326, 3270, 29891, 801)"
18,28919,44382335,"(12530, 263, 1023, 29899, 18721, 6493, 304, 278, 14622, 14368, 310, 1425, 18152, 322, 317, 2497, 326, 3270, 29891, 801)"
19,28919,85656231,"(12530, 263, 1023, 29899, 18721, 6493, 304, 278, 14622, 14368, 310, 1425, 18152, 322, 317, 2497, 326, 3270, 29891, 801)"
20,29963,38259000,"(8037, 5619, 24921, 884, 11132, 263, 3407, 304, 263, 29871, 29896, 29929, 29929, 29929, 6559, 6445, 393, 5534, 6238, 3698, 750)"
21,29963,38259000,"(29896, 29929, 29929, 29929, 6559, 6445, 393, 5534, 6238, 3698, 750, 5161, 264, 15301, 368, 297, 278, 3517, 316, 6332, 9401)"
