,testset_idx,doc_ix,snippet
0,588,61880987,"(5408, 322, 13706, 29892, 278, 10541, 363, 13406, 756, 1063, 263, 9619, 7606, 10541, 310, 2834, 29535, 358, 29889, 1932, 1316, 263, 10541, 338, 527, 4752, 29892, 372, 338, 278, 1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335)"
1,588,105687840,"(5408, 322, 13706, 29892, 278, 10541, 363, 13406, 756, 1063, 263, 9619, 7606, 10541, 310, 2834, 29535, 358, 29889, 1932, 1316, 263, 10541, 338, 527, 4752, 29892, 372, 338, 278, 1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335)"
2,588,43328180,"(5408, 322, 13706, 29892, 278, 10541, 363, 13406, 756, 1063, 263, 9619, 7606, 10541, 310, 2834, 29535, 358, 29889, 1932, 1316, 263, 10541, 338, 527, 4752, 29892, 372, 338, 278, 1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335)"
3,588,8695141,"(5408, 322, 13706, 29892, 278, 10541, 363, 13406, 756, 1063, 263, 9619, 7606, 10541, 310, 2834, 29535, 358, 29889, 1932, 1316, 263, 10541, 338, 527, 4752, 29892, 372, 338, 278, 1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335)"
4,588,61880987,"(1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335, 1821, 363, 6507, 373, 7794, 663, 29889, 8960, 635, 29892, 3138, 29892, 1346, 29874, 3353, 2834, 1797, 30024, 1122, 367, 527, 4752, 491, 278, 14260, 16833, 2012, 310, 263, 9212)"
5,588,105687840,"(1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335, 1821, 363, 6507, 373, 7794, 663, 29889, 8960, 635, 29892, 3138, 29892, 1346, 29874, 3353, 2834, 1797, 30024, 1122, 367, 527, 4752, 491, 278, 14260, 16833, 2012, 310, 263, 9212)"
6,588,43328180,"(1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335, 1821, 363, 6507, 373, 7794, 663, 29889, 8960, 635, 29892, 3138, 29892, 1346, 29874, 3353, 2834, 1797, 30024, 1122, 367, 527, 4752, 491, 278, 14260, 16833, 2012, 310, 263, 9212)"
7,588,8695141,"(1857, 6944, 29892, 297, 278, 13638, 310, 4251, 29892, 363, 278, 14260, 16833, 304, 731, 263, 9212, 1840, 310, 29535, 358, 607, 1818, 367, 6766, 1434, 278, 27314, 338, 560, 335, 1821, 363, 6507, 373, 7794, 663, 29889, 8960, 635, 29892, 3138, 29892, 1346, 29874, 3353, 2834, 1797, 30024, 1122, 367, 527, 4752, 491, 278, 14260, 16833, 2012, 310, 263, 9212)"
8,25894,96025952,"(7927, 29885, 21079, 373, 278, 5619, 9451, 674, 1139, 21082, 3483, 858, 29879, 472, 278, 5764, 29899, 17433, 22514, 1048)"
9,26135,65124418,"(29899, 8551, 749, 363, 278, 4756, 29889, 29871, 29955, 2635, 363, 278, 8271, 304, 17386, 402, 586, 29889, 18956, 15225)"
